id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Sable & Oak,country,happy,0.62,104,0.88,0.71,0.74
12,Block Party,Kingsley Ave,hip-hop,energetic,0.85,96,0.78,0.91,0.08
13,Moonlit Sonata,Clara Voss,classical,relaxed,0.22,58,0.72,0.28,0.97
14,Slow Burn,Velvet Jones,r&b,moody,0.55,88,0.63,0.74,0.41
15,Desert Highway,The Drifters,rock,intense,0.88,140,0.44,0.62,0.12
16,Sunday Morning,Hana Blue,indie pop,relaxed,0.48,95,0.77,0.65,0.55
17,Neon Pulse,Circuit City,electronic,energetic,0.94,128,0.66,0.92,0.03
18,Rainy Day Jazz,Blue Note Trio,jazz,chill,0.31,75,0.68,0.48,0.93